masse;1;2;3;4;5;6;7;8;9
0;0;0;0;0;0;0;0;0;0
200;18;13;9;5;2;6;10;14;19
400;35;27;19;11;4;12;20;28;38
600;53;40;28;16;5;17;30;42;57
800;70;54;38;21;7;23;40;56;76
1000;88;67;47;27;9;29;49;70;95
1200;105;81;57;32;11;35;59;84;114
1400;123;94;66;38;12;41;69;98;132
1600;140;108;75;43;14;47;79;112;151
1800;158;121;85;48;16;52;89;125;170
2000;176;135;94;54;18;58;99;139;189
2200;193;148;104;59;19;64;109;153;208
2400;211;162;113;64;21;70;119;167;227
2600;228;175;123;70;23;76;128;181;246
2800;246;189;132;75;25;81;138;195;265
3000;263;202;141;80;26;87;148;209;284
3200;281;216;151;86;28;93;158;223;303
3400;298;229;160;91;30;99;168;237;322
3600;316;243;170;96;32;105;178;251;341
3800;333;256;179;102;33;110;188;265;360
4000;351;270;188;107;35;116;198;279;379
4200;369;283;198;113;37;122;207;293;397
4400;386;297;207;118;39;128;217;307;416
4600;404;310;217;123;40;134;227;321;435
4800;421;324;226;129;42;140;237;335;454
5000;439;337;236;134;44;145;247;349;473
5200;456;351;245;139;46;151;257;363;492
5400;474;364;254;145;47;157;267;376;511
5600;491;378;264;150;49;163;277;390;
5800;509;391;273;155;51;169;287;404;
6000;527;405;283;161;53;174;296;418;
6200;544;418;292;166;54;180;306;432;
6400;562;432;302;172;56;186;316;446;
6600;579;445;311;177;58;192;326;460;
6800;597;459;320;182;60;198;336;474;
7000;614;472;330;188;61;204;346;488;
7200;632;486;339;193;63;209;356;502;
7400;649;499;349;198;65;215;366;516;
7600;667;513;358;204;67;221;375;530;
7800;685;526;368;209;68;227;385;544;
8000;702;540;377;214;70;233;395;558;
8200;720;553;386;220;72;238;405;572;
8400;737;567;396;225;74;244;415;;
8600;755;580;405;231;75;250;425;;
8800;772;593;415;236;77;256;435;;
9000;;607;424;241;79;262;445;;
9200;;620;434;247;81;268;454;;
9400;;634;443;252;82;273;464;;
