Armoring plates internal;Armoring plates externa;Armoring windows;Cockpit curtain;Curtain additional rod;Loadmaster armouring;Crane Electr;Full Medevac 60;Full Medevac 66;HDU;CHT front tank;CHT rear tank;CHT or HDU piping;FWD Seat Pallet;FWD Seat Pallet 1&2;FWD Seat Pallet 1to3;Full Seat Pallet;AFT Seat Pallet 4to7;AFT Seat Pallet 5to7;AFT Seat Pallet 6to7;AFT Seat Pallet 7;Crane Rail;URW Kit MLG;URW Kit FR48
-328;-56;-262;-171;-1;-340;0;-129;-143;0;-3478;0;0;-313;-313;-313;-315;-2;0;0;0;0;0;0
-328;-56;-262;-171;-1;-340;0;-265;-291;0;-7015;0;0;-1038;-1051;-1051;-1053;-2;0;0;0;0;0;0
-328;-56;-262;-171;-1;-340;0;-449;-476;0;-7087;0;0;-1083;-1761;-1709;-1711;-3;0;0;0;0;0;0
-328;-56;-262;-171;-1;-340;0;-621;-649;0;-7167;0;0;-1083;-1830;-2452;-2358;-438;0;0;0;0;0;0
0;0;0;0;0;0;-277;-408;-406;-878;-138;-7008;-90;0;0;0;-1656;-1656;-1677;-1727;-1067;-180;-62;-19
0;0;0;0;0;0;-277;-242;-241;-878;-64;-7012;-90;0;0;0;-1010;-1010;-1030;-1030;-1019;-180;-12;-19
0;0;0;0;0;0;-277;-76;-75;-856;0;-4400;-49;0;0;0;-264;-264;-274;-274;-274;-180;0;0
0;0;0;0;0;0;-277;0;0;-806;0;0;0;0;0;0;0;0;0;0;0;-180;0;0
0;0;0;0;0;0;-277;0;0;-80;0;0;0;0;0;0;0;0;0;0;0;-180;0;0
-1899;-422;-1581;-781;-5;-1209;0;-119;-129;0;-1875;0;0;-246;-246;-246;-246;0;0;0;0;0;0;0
-2565;-536;-2114;-1128;-6;-1901;0;-512;-568;0;-14376;0;0;-1509;-1546;-1546;-1546;0;0;0;0;0;0;0
-3232;-650;-2646;-1475;-8;-2592;0;-1235;-1345;0;-28812;0;0;-3225;-4121;-4122;-4122;-1;0;0;0;0;0;0
-3898;-764;-3179;-1822;-10;-3283;0;-2328;-2494;0;-43366;0;0;-4947;-7238;-7878;-7882;-140;0;0;0;0;0;0
0;0;0;0;0;0;-2764;-1024;-1017;-6436;-187;-30447;-434;0;0;0;-4239;-4238;-4237;-4227;-3357;-2142;-94;-49
0;0;0;0;0;0;-2201;-363;-360;-4651;-20;-16086;-237;0;0;0;-1701;-1701;-1701;-1701;-1664;-1776;-2;-9
0;0;0;0;0;0;-1638;-49;-49;-2892;0;-2804;-56;0;0;0;-371;-371;-371;-371;-371;-1411;0;0
0;0;0;0;0;0;-1075;0;0;-1182;0;0;0;0;0;0;0;0;0;0;0;-1045;0;0
0;0;0;0;0;0;-385;0;0;-105;0;0;0;0;0;0;0;0;0;0;0;-597;0;0
