nom;Central cargo hold seats (block of 10) - 1st FWD position;Central cargo hold seats (block of 20) - 2nd FWD position;Central cargo hold seats (block of 30) - 3rd FWD position;Central cargo hold seats (block of 40) - 4th FWD position;Central cargo hold seats (block of 50) - 5th FWD position;Central cargo hold seats (block of 62) - full;Central cargo hold seats (block of 12) - aft position;Barrier net - FWD position;Barrier net - Aft position;Crash Net - Rolled-up FWD;Crash Net - Rolled-up AFT;ISO lock devices (1 pair) - Position 1;ISO lock devices (1 pair) - Position 2;ISO lock devices (1 pair) - Position 3;ISO lock devices (1 pair) - Position 4;ISO lock devices (1 pair) - Position 5;Civil lock sets - cargo hold stowed;"Civil lock sets - cargo hold operational (88"")";"Civil lock sets - cargo hold operational (96"")";Civil lock sets - ramp stowed;Civil lock sets - ramp operational;Retrieval line winch A;Retrieval line winch B;EPES A (removable and lifting function);EPES B (removable and lifting function);Anchor cable - Stowed - Left inboard;Anchor cable - Installed - Left inboard;Anchor cable - Stowed - Left outboard;Anchor cable - Installed - Left outboard;Anchor cable - Stowed - Right inboard;Anchor cable - Installed - Right inboard;Anchor cable - Stowed - Right outboard;Anchor cable - Installed - Right outboard;CGVR - 1;CGVR - 2;CGVR - 3;CGVR - 4;CGVR - 5;CGVR - 6;CGVR - 7;CGVR - 8;CGVR - 9;CGVR - 10;CGVR - 11;CGVR - 12;CGVR - 13;CGVR - 14;CGVR - 15;CGVR - 16;CGVR - 17;CGVR - 18;CGVR - 19;CGVR - 20;CGVR - 21;CGVR - 22;CGVR - 23;CGVR - 24;CGVR - 25;CGVR - 26;CGVR - 27;CGVR - 28;CGVR - 29;CGVR - 30;CGVR - 31;CGVR - 32;CGVR - 33;CGVR - 34;Buffer stop (empty);Buffer stop (with stored CGVR items);RAS/Wedge;ERG E;ERG C;ERG A;ERG F;ERG D;ERG B;MAS seat and table;Curtain assembly;Tracked PUMA Lashing Material;DRPOS LM;DRPOS JM LEFT;DRPOS JM RIGHT;Cockpit crewmember basic (2 x 120 kg);Loadmaster basic (1 x 120 kg);Cockpit supplementary crewmember;Cockpit supplementary crewmember;Cargo hold supplementary crew;Cargo hold supplementary crew;Cargo hold supplementary crew;Loadmaster supplementary crewmember;Loadmaster supplementary crewmember;Extra crew bags;Extra crew bags;Extra crew bags;Extra crew bags;Cockpit survival bag (Y-arm = 0.343 m);Galley catering (Y-arm = -1.427 m);Potable FWD tank water (Y-arm = -1.950 m);Potable AFT tank water (Y-arm = -2.200 m);Meals and Drinks;Meals and Drinks;Meals and Drinks;PMAT;AGE ladder (Ladder) - OLD design;AGE ladder (Ladder) - NEW design;AGE ladder (Platform) - OLD design;AGE ladder (Platform) - NEW design;Wheel changing tool;Supplementary lashing equipment;Crew parachutes;DASS loads - nose FWD position;DASS loads - nose rear position;DASS loads - FWD WFF position 29 16.026 16.026 0;DASS loads - rear WFF position;DASS loads - FWD sponson position;DASS loads - rear sponson position;Basic stretchers stored on board (pos 1) (Y-arm = -1.925 m);Basic stretchers stored on board (pos 2) (Y-arm = 0.500 m);Basic stretchers operational front (Y-arm = 1.726 m);Basic stretchers operational middle (Y-arm = 1.726 m);Basic stretchers operational rear (Y-arm = 1.726 m);Ramp toe (LH);Ramp toe (CTR);Ramp toe (RH);Ramp toe rollertracks;Omnidirectional roller trays;Paratrooper door protector left pre installed;Paratrooper door protector right pre installed;Paratrooper door protector - Stowed - cargo door position;Paratrooper door protector - Stowed - cargo door position;Paratrooper door protector - Stowed - ramp position;Paratrooper door protector - Stowed - ramp position;MF curtain full installation;MF curtain upper installation;Troop seats center (block of 20) stowage at SAK;Troop seats center (block of 20) stowage at cargo door;SAK at cargo door storage (empty);Forward end stops;Medical litter box;Medical litter box;Medical litter box;Medical litter box;Medical litter box;Medical litter box
fwd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240;120;120;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;89;93;86;88;89;86;0;0;0;83;0;0;0;0;0;0;0;8;8;0;0;33;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;212;0;0;0;0;0;0;0;0;0
B;60;94;102;104;105;102;0;166;0;0;0;85;0;0;0;0;15;31;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C;0;72;95;103;105;102;0;0;166;0;83;19;42;0;0;0;20;30;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D;0;29;94;89;98;101;0;0;0;0;0;0;62;0;0;0;20;30;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;14;87;97;6;0;0;0;0;0;0;0;85;0;20;35;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
G;0;0;0;0;57;97;81;0;0;0;0;0;0;0;0;61;33;35;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H;0;0;0;0;0;74;71;0;0;0;0;0;0;0;0;43;35;35;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;37;37;0;0;0;0;75;39;0;0;0;0;0;0;0;0;0;0
J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;43;0;0;0;0;51;51;0;0;0;0;0;0;0;0;0;0;0;0
K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;19;10;0;0;31;31;10;10;10;10;10;10;10;10;2;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
