weight(kg);LogIndex;TacticalIndex
500;7;7
1000;15;15
1500;23;23
2000;31;31
2500;39;39
3000;47;47
3500;55;55
4000;63;63
4500;72;72
5000;80;80
5500;89;89
6000;97;97
6500;106;103
7000;114;106
7500;123;110
8000;129;113
8500;132;116
9000;136;116
9500;139;117
10000;143;117
10500;146;117
11000;147;116
11500;147;116
12000;147;116
12500;147;115
13000;147;114
13500;146;113
14000;146;113
14500;145;112
15000;144;111
15500;143;110
16000;143;110
16500;142;109
17000;141;108
17500;140;108
18000;140;107
18500;139;107
19000;138;106
19500;138;106
20000;137;105
20500;137;105
21000;136;104
21500;136;104
22000;135;103
22500;135;103
23000;134;102
23500;134;102
24000;133;101
24500;133;100
25000;132;99
25500;131;98
26000;131;97
26500;130;96
27000;129;95
27500;128;88
28000;127;82
28500;126;77
29000;125;72
29500;123;67
30000;122;63
30500;121;58
31000;119;54
31500;117;49
32000;115;45
32500;114;40
33000;111;36
33500;109;31
34000;105;26
34500;98;22
35000;92;17
35500;87;13
36000;83;8
36500;78;4
37000;74;-1
37500;69;-3
38000;64;-4
38500;60;-6
39000;55;-7
39500;51;-9
40000;46;-11
40500;42;-12
41000;37;-14
41500;33;-17
42000;28;-19
42500;24;-11
43000;19;-2
43500;14;6
44000;11;11
44500;12;12
45000;12;12
45500;12;12
46000;12;12
46500;13;13
47000;13;13
47500;13;13
48000;13;13
48500;13;13
49000;13;13
49500;12;12
50000;12;12
50500;12;12
51000;12;12
51500;12;12
52000;12;12
52500;12;12
53000;12;12
53500;12;12
54000;12;12
54500;12;12
55000;12;12
55500;12;12
56000;12;12
