21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180
6672;6672;6672;6672;6672;6672;6672;6672;6672;6672;6672;6672;6672;6672;6672;6672;6672;6672
9919;9919;9919;9919;9919;9919;9919;9919;9919;9919;9919;9919;9919;9919;9919;9919;9919;9919
13656;13656;13656;13656;13656;13656;13656;13656;13656;13656;13656;13656;13656;13656;13656;13656;13656;13656
9612;9981;10351;10720;11090;11460;11829;12199;12568;12938;13590;14243;14895;15548;16200;16853;17505;18158
6425;6900;7376;7851;8327;8803;9278;9754;10229;10705;10706;10707;10709;10710;10711;10712;10714;10715
3915;4338;4762;5185;5609;6033;6456;6880;7303;7727;7727;7727;7727;7727;7727;7727;7727;7727
2013;2517;3021;3525;4030;4534;5038;5542;6046;6550;6550;6550;6550;6550;6550;6550;6550;6550
1188;1494;1801;2107;2413;2719;3025;3332;3638;3944;3944;3944;3944;3944;3944;3944;3944;3944
