21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180
6672;6672;6672;6672;6672;6672;6672;6672;6672;6672;6672;6672;6672;6672;6672;6672;6672;6672
9919;9919;9919;9919;9919;9919;9919;9919;9919;9919;9919;9919;9919;9919;9919;9919;9919;9919
13656;13656;13656;13656;13656;13656;13656;13656;13656;13656;13656;13656;13656;13656;13656;13656;13656;13656
9477;9784;10092;10399;10707;11014;11322;11629;11937;12244;12948;13651;14355;15058;15762;16465;17169;17872
6175;6634;7094;7553;8013;8473;8932;9392;9851;10311;10330;10349;10368;10387;10406;10425;10444;10463
3678;4098;4519;4939;5360;5781;6201;6622;7042;7463;7466;7470;7473;7476;7480;7483;7486;7490
1707;2140;2572;3005;3437;3869;4302;4734;5167;5599;5665;5730;5796;5861;5927;5992;6058;6123
864.5;1081;1298;1514;1731;1947;2164;2380;2597;2813;2893;2973;3052;3132;3212;3292;3371;3451
